idLaw,wizara,sujet,type,num,date,num_jarida,date_jarida,page_jarida,مجال
643,وزارة الفلاحة والتنمية الريفية,يتضمن استبدال مشروع مقرر للإنجاز منصوص عليه في الملحق بالمرسوم التنفيذي رقم 370-12 المؤرخ في 8 ذي الحجة عام 1433 الموافق 24 أكتوبر سنة 2012 والمتضمن إلغاء تصنيف قطع أراض فلاحية وتخصيصها لإنجاز مشاريع عمومية للتنمية.,مرسوم تنفيذي,23-275,13 يوليو 2023,48,16 يوليو 2023،,12,Non spécifié
644,وزارة الداخلية والجماعات المحلية والتهيئة العمرانية,يحدد الكيفيات الخاصة بتطبيق منع استعمال التبغ في قطاع الداخلية والجماعات المحلية والتهيئة العمرانية.,قرار ممضي في 27 أبريل 2023,,27 أبريل 2023,48,16 يوليو 2023،,19,Non spécifié
645,وزارة الثقافة والفنون,يحدد التنظيم الداخلي لقصور الثقافة.,قرار وزاري مشترك ممضي في 31 مايو 2023,,31 مايو 2023,48,16 يوليو 2023،,20,Non spécifié
646,وزارة البريد والمواصلات السلكية واللاسلكية,يحدد رزنامة تنفيذ إجراء المزايدة بإعلان المنافسة المتعلق بتوفير الخدمة الشاملة للاتصالات الإلكترونية لتغطية مناطق ذات كثافة سكانية منخفضة، بشبكة عمومية للمواصلات اللاسلكية النقالة.,قرار ممضي في 15 يونيو 2023,,15 يونيو 2023,48,16 يوليو 2023،,22,Non spécifié
647,وزارة العمل والتشغيل والضمان الاجتماعي,تتضمن سحب اعتماد هيئات خاصة لتنصيب العمال.,قرار ممضي في 23 أبريل 2023,,23 أبريل 2023,48,16 يوليو 2023،,24,Non spécifié
648,وزارة العمل والتشغيل والضمان الاجتماعي,يتضمن رفع قيمة معاشات الضمان الاجتماعي ومنحه وريوعه.,قرار ممضي في 01 يونيو 2023,,01 يونيو 2023,48,16 يوليو 2023،,25,مجتمع
649,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة.,مرسوم رئاسي,23-276,31 يوليو 2023,49,01 غشت 2023،,4,"المالية, السياسة"
650,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة.,مرسوم رئاسي,23-277,31 يوليو 2023,49,01 غشت 2023،,4,"المالية, السياسة"
651,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف وزير الشؤون الخارجية والجالية الوطنية بالخارج.,مرسوم رئاسي,23-278,31 يوليو 2023,49,01 غشت 2023،,6,"المالية, السياسة"
652,وزارة المالية,يتضمن تحويل اعتماد بعنوان ميزانية الدولة، يوضع تحت تصرف وزير الشؤون الدينية والأوقاف.,مرسوم رئاسي,23-279,31 يوليو 2023,49,01 غشت 2023،,7,"المالية, السياسة"
